Primary Category,Secondary Category,Tertiary Category,Tags Explanation
Individual Income Tax,Employer Practices under Individual Income Tax,Tax Clearance for Foreign & SPR Employees (IR21),"A process requiring employers to submit Form IR21 to the Inland Revenue Authority of Singapore for foreign and Singapore Permanent Resident employees before they cease employment, ensuring all tax liabilities are settled prior to their departure from Singapore."
Corporate Income Tax,Basics of Corporate Income Tax,Tax Residency of a Company/ Certificate of Residence,"Determines the tax status of a company based on its control and management location, impacting tax obligations. A Certificate of Residence may be issued to confirm tax residency status for treaty benefits."
Corporate Income Tax,Basics of Corporate Income Tax,Corporate Income Tax Filing Obligations,"Mandates companies to file corporate income tax returns annually with the Inland Revenue Authority of Singapore, detailing income and expenses for assessment."
Corporate Income Tax,Basics of Corporate Income Tax,Record Keeping Requirements,"Specifies requirements for companies to maintain accurate and complete records of financial transactions, supporting tax filings and compliance with the Income Tax Act."
Corporate Income Tax,Basics of Corporate Income Tax,"Corporate Income Tax Rate, Rebates & Tax Exemption Schemes","Outlines the standard corporate income tax rate, available rebates, and various tax exemption schemes that may apply to qualifying companies, influencing their overall tax liability."
Corporate Income Tax,Basics of Corporate Income Tax,Updating Company Particulars,"Involves notifying the Inland Revenue Authority of Singapore about any changes to a company's registered details, ensuring accurate records for tax purposes and compliance."
Corporate Income Tax,Basics of Corporate Income Tax,Corporate Income Tax Payment,"Specifies the requirement for companies to make timely payments of corporate income tax based on their assessed liabilities, ensuring compliance with the Income Tax Act."
Corporate Income Tax,Form C-S/ Form C-S (Lite)/ Form C Filing,Late or Non-Filing of Form C-S/ Form C-S (Lite)/ Form C,"Addresses consequences for failing to file Form C-S, Form C-S (Lite), or Form C by the due date, potentially resulting in penalties or late filing charges."
Corporate Income Tax,Form C-S/ Form C-S (Lite)/ Form C Filing,After Filing Form C-S/ Form C-S (Lite)/ Form C,"Covers the obligations and processes that follow the filing of Form C-S, Form C-S (Lite), or Form C, including any necessary amendments or additional information requests."
Corporate Income Tax,Form C-S/ Form C-S (Lite)/ Form C Filing,Penalties for Errors in Tax Returns,"Outlines penalties imposed for inaccuracies or errors in submitted tax returns, emphasizing the importance of accurate reporting and compliance with tax regulations."
Corporate Income Tax,Form C-S/ Form C-S (Lite)/ Form C Filing,Tax Computation before Form C-S/ Form C-S (Lite)/ Form C,"Describes the process of calculating taxable income and determining tax liabilities before submitting Form C-S, Form C-S (Lite), or Form C for corporate tax filings."
Corporate Income Tax,Corporate Income Tax Compliance,Voluntary Disclosure of Errors for Reduced Penalties,"Allows companies to voluntarily disclose errors in their tax filings to the Inland Revenue Authority of Singapore, potentially qualifying for reduced penalties as a result."
Corporate Income Tax,Corporate Income Tax Compliance,Enhanced Taxpayer Relationship (ETR) Programme,"A program designed to foster better communication and relationships between tax authorities and corporate taxpayers, promoting transparency and cooperation in tax matters."
Corporate Income Tax,Corporate Income Tax Compliance,Corporate Tax Evasion or Fraud,"Addresses issues related to corporate tax evasion or fraud, including legal implications and enforcement measures to combat such activities."
Corporate Income Tax,International Compliance Assurance Programme (ICAP),Corporate Tax Governance & Tax Risk Management,Involves establishing frameworks for corporate tax governance and risk management to ensure compliance and mitigate potential tax-related risks.
Corporate Income Tax,Dormant Companies or Companies Closing Down,Companies under Liquidation/ Judicial Management/ Receivership,"Covers the tax implications for companies undergoing liquidation, judicial management, or receivership, focusing on their tax obligations during these processes."
Corporate Income Tax,Dormant Companies or Companies Closing Down,Companies Applying for Strike Off/ to Cease Registration,"Details the procedures for companies applying to strike off or cease registration, including associated tax compliance requirements."
Corporate Income Tax,Income & Deductions for Companies,"Claiming Allowances for the Corporate (IPRs, M&A, LIA, IBA)","Describes the process for claiming various allowances related to corporate activities, such as intellectual property rights (IPRs), mergers and acquisitions (M&A), and other incentives."
Corporate Income Tax,Income & Deductions for Companies,"Claiming Reliefs for Foreign Tax Credit, Group Relief, and Loss Carry-back Relief","Outlines the procedures for claiming tax reliefs such as foreign tax credits, group relief, and loss carry-back relief, providing avenues for reducing tax liabilities."
Corporate Income Tax,Income & Deductions for Companies,Tax Relief for Corporate Receiving Foreign Income,"Covers the tax relief provisions available for corporations receiving foreign income, detailing eligibility and application processes."
Corporate Income Tax,Transfer Pricing,"Transfer Pricing Compliance (RPT, TPA)","Mandates compliance with transfer pricing regulations for related party transactions, ensuring transactions are conducted at arm's length to reflect fair market value."
Corporate Income Tax,Transfer Pricing,Advance Pricing Arrangement (APA),"Describes the process for obtaining an Advance Pricing Arrangement, allowing companies to agree with tax authorities on transfer pricing methodologies in advance."
Corporate Income Tax,Transfer Pricing,Mutual Agreement Procedure (MAP),"Outlines the Mutual Agreement Procedure, a bilateral process for resolving tax disputes between countries, particularly concerning double taxation issues."
Corporate Income Tax,Transfer Pricing,Applying the Armճ Length Principle to Related Party Financial Transactions,"Explains the application of the arm's length principle to related party financial transactions, ensuring that pricing is consistent with market conditions."
Corporate Income Tax,Transfer Pricing,Applying the Armճ Length Principle to Cost Contribution Arrangements,"Details the application of the arm's length principle to cost contribution arrangements among related parties, promoting fair allocation of costs."
Corporate Income Tax,Transfer Pricing,Attribution of Profits to Permanent Establishments (PEs),"Involves the attribution of profits to permanent establishments, ensuring that profits are taxed where economic activities occur."
Corporate Income Tax,Transfer Pricing,[NEW!] Applying the Arm's Length Principle to Government Assistance,"Describes the application of the arm's length principle to government assistance, ensuring that such assistance is valued appropriately in transactions."
Corporate Income Tax,Transfer Pricing,Country-by-Country (CbC) Reporting,"Specifies the requirements for Country-by-Country (CbC) reporting, which mandates multinational enterprises to report income and tax information by jurisdiction."
Corporate Income Tax,Transfer Pricing,Applying the Armճ Length Principle to Related Party Services,"Covers the application of the arm's length principle to related party services, ensuring that intercompany service transactions reflect fair market pricing."
Corporate Income Tax,Advance Tax Ruling,Income Tax Advance Ruling,"Involves the process for seeking an income tax advance ruling from tax authorities, providing clarity on tax treatment of specific transactions."
Corporate Income Tax,Specific Topics for Corporate Income Tax,Interbank Offered Rate Reform & the Tax Implications,"Addresses the implications of interbank offered rate reforms on tax matters, particularly regarding financial instruments linked to these rates."
Corporate Income Tax,Specific Topics for Corporate Income Tax,Productivity & Innovation Credit (PIC) Scheme,"Details the tax treatment under the Productivity and Innovation Credit (PIC) scheme, promoting investment in productivity and innovation through tax incentives."
Corporate Income Tax,Specific Topics for Corporate Income Tax,"Tax Treatment of Interest, Gains or Profits Derived from Negotiable Certificates of Deposit by Non-Financial Institutions","Explains the tax treatment of interest, gains, or profits derived from negotiable certificates of deposit by non-financial institutions, outlining applicable tax obligations."
Property Tax,Property Owner Tax Information,Property Tax Rebate and Property Tax Payable for Owner-Occupied Residential Properties,"Owner-occupied residential properties may qualify for property tax rebates, reducing the amount payable under the Property Tax Act."
Property Tax,Property Owner Tax Information,Property tax payment method,"Property tax payment methods include various options such as online banking, credit card payments, and traditional mail, facilitating timely remittance of tax."
Property Tax,Property Owner Tax Information,Electronic property tax (e-PT) bills,Electronic property tax (e-PT) bills are digital notifications sent to property owners detailing their property tax liabilities and payment instructions.
Property Tax,Property Owner Tax Information,Property Tax Exemptions for a Registered Charity,"Registered charities may receive property tax exemptions, relieving them from paying property tax on properties used for charitable purposes."
Property Tax,Property Owner Tax Information,Property Tax Remission for Building a Residential Landed Property in Singapore,"Property tax remission may be granted for individuals building residential landed properties in Singapore, offering temporary relief during the construction period."
Property Tax,Property Owner Tax Information,"Property Tax SOA, Bills and Notices","Statements of Account (SOA), bills, and notices related to property tax are issued to property owners, providing details of their tax obligations and payment deadlines."
Property Tax,Property Buyer Tax Information,Tax Related to Property Transfer,"Tax is applicable on property transfers, requiring buyers and sellers to comply with relevant tax laws during the transaction process."
Property Tax,Property Buyer Tax Information,Tax Related to Buying Private Residential Properties,"Buying private residential properties incurs tax obligations, including stamp duty and property tax, which must be considered by purchasers."
Property Tax,Property Buyer Tax Information,Tax Related to Buying Vacant Land or Development Sites,"Purchasing vacant land or development sites involves tax liabilities such as stamp duty and property tax, which buyers must account for."
Property Tax,Property Buyer Tax Information,Tax Related to Buying Other Types of Properties,"Different types of properties may attract varying tax related to their purchase, including applicable stamp duties and property tax based on property classification."
GST,General GST Schemes,Hand-Carried Exports Scheme (HCES),"Hand-Carried Exports Scheme (HCES) allows GST-registered businesses to zero-rate supplies of goods hand-carried out of Singapore via Changi Airport if specific criteria are met, including customs endorsement and proper documentation."
GST,General GST Schemes,Gross Margin Scheme,"Gross Margin Scheme enables GST-registered businesses dealing in second-hand goods to charge GST only on the gross margin instead of the full selling price, avoiding double taxation."
GST,General GST Schemes,Discounted Sale Price Scheme,"Discounted Sale Price Scheme allows motor vehicle dealers to charge GST on a predefined discounted sale price rather than the full selling price, reducing GST payable on used vehicles."
GST,General GST Schemes,Import GST Deferment Scheme (IGDS),Import GST Deferment Scheme (IGDS) permits approved GST-registered businesses to defer import GST payments to their monthly GST returns instead of paying upfront at customs clearance.
GST,General GST Schemes,Tourist Refund Scheme (TRS),"Tourist Refund Scheme (TRS) enables tourists departing from Singapore to claim refunds on GST paid for eligible goods purchased from participating retailers, subject to conditions."
GST,General GST Schemes,Zero GST (ZG) Warehouse Scheme,Zero GST (ZG) Warehouse Scheme allows approved businesses to store imported non-dutiable goods in warehouses without paying import GST until goods are removed for local consumption.
GST,General GST Schemes,Major Exporter Scheme (MES),"Major Exporter Scheme (MES) grants approved businesses relief from import GST on non-dutiable goods imported for re-export, reducing cash flow burdens."
GST,General GST Schemes,Cash Accounting Scheme,"Cash Accounting Scheme permits small businesses to account for output tax based on payments received rather than invoice issuance, aiding cash flow management."
GST,Industry-Specific GST Schemes,Approved Import GST Suspension Scheme (AISS) (For Aerospace Players),Approved Import GST Suspension Scheme (AISS) (For Aerospace Players) allows approved aerospace companies to import and purchase qualifying aircraft-related goods without paying import GST.
GST,Industry-Specific GST Schemes,Approved Refiner and Consolidator Scheme (ARCS),Approved Refiner and Consolidator Scheme (ARCS) grants GST suspension benefits to qualifying refiners and consolidators of investment precious metals to ease cash flow.
GST,Industry-Specific GST Schemes,Approved Contract Manufacturer and Trader (ACMT) Scheme,"Approved Contract Manufacturer and Trader (ACMT) Scheme provides GST relief on value-added services performed on goods owned by overseas customers, supporting export competitiveness."
GST,Industry-Specific GST Schemes,Approved Marine Fuel Trader (MFT) Scheme,"Approved Marine Fuel Trader (MFT) Scheme allows approved fuel traders to buy marine fuel without paying GST, facilitating cost efficiency in the bunkering industry."
GST,Industry-Specific GST Schemes,Approved Marine Customer Scheme (AMCS),Approved Marine Customer Scheme (AMCS) enables qualifying maritime businesses to procure specified goods and services for approved marine activities without paying GST upfront.
GST,Industry-Specific GST Schemes,Approved Third Party Logistics (3PL) Company Scheme,Approved Third Party Logistics (3PL) Company Scheme allows qualifying logistics providers to import and store goods on behalf of overseas clients without incurring GST.
GST,Industry-Specific GST Schemes,Specialised Warehouse Scheme (SWS),"Specialised Warehouse Scheme (SWS) provides GST suspension on goods stored in approved warehouses, benefitting businesses dealing in high-value or large-volume inventory."
GST,GST Filing,Completing GST returns,"Completing GST returns requires businesses to report output tax, input tax, and net GST payable or refundable accurately on their periodic GST F5 returns."
GST,GST Filing,Correcting Errors Made in GST Return (Filing GST F7),Correcting Errors Made in GST Return (Filing GST F7) allows businesses to rectify mistakes in previously filed GST returns by submitting a GST F7 form within the prescribed time.
GST,GST Filing,GST Filing and Payment Due Dates and Requests for Extension,"GST Filing and Payment Due Dates and Requests for Extension specify deadlines for submitting GST returns and making payments, with extension requests subject to IRAS approval."
GST,GST Filing,Late filing or non-filing of GST Returns (F5/F8),"Late filing or non-filing of GST Returns (F5/F8) may result in penalties, late payment charges, and enforcement actions imposed by IRAS for non-compliance."
GST,Claiming GST (Input Tax),Claiming Input Tax in the Right Accounting Period,Claiming Input Tax in the Right Accounting Period requires businesses to claim GST on purchases in the same period as their supporting tax invoices and payments.
GST,Claiming GST (Input Tax),Claiming Input Tax Incurred to Make Exempt Supplies,Claiming Input Tax Incurred to Make Exempt Supplies restricts GST recovery on expenses used to generate exempt supplies unless specific de minimis conditions are met.
GST,Claiming GST (Input Tax),Claiming GST Incurred Before GST Registration/Incorporation,Claiming GST Incurred Before GST Registration/Incorporation allows businesses to recover pre-registration GST on qualifying expenses directly related to taxable activities.
GST,Claiming GST (Input Tax),Paying Suppliers After Claiming GST,"Paying Suppliers After Claiming GST requires businesses to pay suppliers within 12 months of claiming input tax, or GST may need to be repaid to IRAS."
GST,Charging GST (Output Tax),Charge 0% GST (Zero-rate) for Exported Goods,"Charge 0% GST (Zero-rate) for Exported Goods applies when goods are physically exported from Singapore, subject to meeting documentary and procedural requirements."
GST,GST Registration/Deregistration,Factors to Consider Before Registering Voluntarily for GST,"Factors to Consider Before Registering Voluntarily for GST include compliance costs, eligibility for input tax claims, and administrative responsibilities associated with GST registration."
GST,GST Registration/Deregistration,Applying for GST Registration,Applying for GST Registration requires businesses exceeding the taxable turnover threshold to register for GST and comply with reporting obligations.
GST,GST Registration/Deregistration,Applying for exemption from GST registration,"Applying for exemption from GST registration is available for businesses making primarily exempt supplies, subject to IRAS approval."
GST,GST Registration/Deregistration,Applying for special GST registration (Group registration and Divisional registration),Applying for special GST registration (Group registration and Divisional registration) allows related companies to file consolidated GST returns or divisions within a company to register separately.
GST,GST Registration/Deregistration,Cancelling GST Registration,"Cancelling GST Registration applies when businesses cease operations, fall below the registration threshold, or meet conditions for voluntary deregistration."
GST,GST Registration/Deregistration,Voluntary Disclosure for Wrongful Collection of GST,Voluntary Disclosure for Wrongful Collection of GST requires businesses that mistakenly charge GST when not required to report and rectify the error with IRAS.
GST,GST Registration/Deregistration,Guarantee Provided for GST Registration,Guarantee Provided for GST Registration may be required by IRAS as a security deposit from businesses with compliance risks before granting GST registration.
GST,GST Compliance,Assisted Compliance Assurance Programme (ACAP),"Assisted Compliance Assurance Programme (ACAP) is a voluntary initiative where businesses undergo a GST risk assessment, earning compliance benefits and reduced audit exposure."
GST,GST Compliance,Assisted Self-help Kit (ASK),Assisted Self-help Kit (ASK) is a GST compliance tool that helps businesses conduct internal reviews of their GST filings to ensure accuracy and adherence to regulations.
GST,GST Compliance,Wrongful Collection of GST by GST-registered persons,"Wrongful Collection of GST by GST-registered persons occurs when businesses overcharge or incorrectly impose GST, requiring correction and potential penalties."
GST,GST Compliance,Voluntary disclosure of errors for reduced penalties,Voluntary disclosure of errors for reduced penalties allows businesses to proactively correct GST filing mistakes and benefit from reduced penalties under IRAS guidelines.
Stamp Duty,Property Related Stamp Duty,Stamp Duty for Variable Capital Companies,"Stamp duty for variable capital companies applies to instruments executed for the transfer of shares or interests in such companies, ensuring compliance with Singapore's tax regulations."
Stamp Duty,Property Related Stamp Duty,e-Stamping and Where to e-Stamp Documents,"e-Stamping allows individuals to electronically stamp documents online, providing a convenient method for fulfilling stamp duty obligations."
Stamp Duty,Property Related Stamp Duty,Additional Buyer's Stamp Duty (ABSD),"Additional Buyer's Stamp Duty (ABSD) is an extra tax imposed on certain property purchases, primarily affecting foreign buyers and those acquiring multiple properties."
Stamp Duty,Property Related Stamp Duty,Mortgage Duty,"Mortgage duty is a tax levied on the creation of a mortgage or charge on property, applicable to both residential and commercial properties."
Stamp Duty,Property Related Stamp Duty,Buyer's Stamp Duty (BSD),"Buyer's Stamp Duty (BSD) is a tax payable on property purchases, calculated based on the purchase price or market value, whichever is higher."
Stamp Duty,Property Related Stamp Duty,Renunciation of interest in trust over residential property by beneficial owner (Section 22C),"Renunciation of interest in trust over residential property by a beneficial owner (Section 22C) involves transferring ownership interest, triggering potential stamp duty obligations."
Stamp Duty,Property Related Stamp Duty,Seller's Stamp Duty (SSD) for Industrial Property,Seller's Stamp Duty (SSD) for industrial property is a tax imposed on the sale of industrial properties if sold within a specific holding period.
Stamp Duty,Property Related Stamp Duty,Definition of Industrial Property,"Industrial property is defined as land or buildings primarily used for industrial purposes, including manufacturing, warehousing, and logistics activities."
Stamp Duty,Property Related Stamp Duty,Seller's Stamp Duty (SSD) for Residential Property,Seller's Stamp Duty (SSD) for residential property is a tax payable on the sale of residential properties if sold within a specified holding period.
Stamp Duty,Property-Holding Entities Related Stamp Duty,Additional Conveyance Duties (ACD),"Additional Conveyance Duties (ACD) apply to certain property transactions, enhancing the stamp duty framework for specific acquisitions."
Stamp Duty,Property-Holding Entities Related Stamp Duty,Buying or Acquiring Property-Holding Entities,Buying or acquiring property-holding entities involves potential stamp duty liabilities when shares in entities owning property are transferred.
Stamp Duty,Property-Holding Entities Related Stamp Duty,Selling or Disposing Property-Holding Entities,Selling or disposing of property-holding entities may incur stamp duty obligations when interests in property-owning companies are sold.
Stamp Duty,Shares Related Stamp Duty,Buying or Acquiring Shares,"Buying or acquiring shares may attract stamp duty if the shares are in a company that holds property, subjecting the transaction to tax."
Company's Industry,-,Agriculture,"Agriculture companies focus on producing and processing food, fibers, and other products through farming and related activities, ensuring sustainable practices and resource management."
Company's Industry,-,Automotive,"Automotive firms design, manufacture, and sell vehicles and parts, driving innovation in mobility and contributing to economic growth through global supply chains."
Company's Industry,-,Aviation,"Aviation companies are involved in the design, manufacturing, and operation of aircraft, providing passenger and cargo transport services across domestic and international markets."
Company's Industry,-,Banking,"Banking institutions offer financial services including deposits, loans, and investment products, playing a critical role in facilitating economic transactions and supporting business growth."
Company's Industry,-,Biotechnology,"Biotechnology companies leverage biological processes and organisms to develop products and technologies, focusing on healthcare, agriculture, and environmental solutions for societal challenges."
Company's Industry,-,Chemical Manufacturing,"Chemical manufacturing firms produce various chemicals used in multiple industries, including pharmaceuticals, agriculture, and consumer products, ensuring quality and safety standards."
Company's Industry,-,Construction,"Construction companies engage in the planning, design, and building of infrastructure and buildings, contributing to urban development and economic stability through project execution."
Company's Industry,-,Consumer Goods,"Consumer goods companies manufacture and distribute products for personal use, including electronics, clothing, and household items, driving consumer trends and market dynamics."
Company's Industry,-,E-commerce,"E-commerce businesses facilitate online buying and selling, transforming retail experiences and expanding market access for consumers and businesses globally."
Company's Industry,-,Education,"Education companies provide learning and training services, ranging from primary education to vocational training, aiming to enhance knowledge and skills in society."
Company's Industry,-,Energy,"Energy companies produce and distribute power from various sources, including renewable energy, fossil fuels, and nuclear, essential for industrial and residential use."
Company's Industry,-,Entertainment,"Entertainment firms create and distribute media content, including films, music, and games, catering to diverse audiences and driving cultural engagement."
Company's Industry,-,Financial Services,"Financial services companies offer a range of services, including investment management, insurance, and advisory, supporting individuals and businesses in financial planning."
Company's Industry,-,Food and Beverage,"Food and beverage companies handle the production, processing, and distribution of food products and drinks, focusing on quality, safety, and consumer preferences."
Company's Industry,-,Healthcare,"Healthcare companies provide medical services, pharmaceuticals, and wellness products, striving to improve health outcomes and enhance the quality of life for individuals."
Company's Industry,-,Hospitality,"Hospitality firms operate in lodging, food service, and tourism, focusing on customer experience and satisfaction in travel and leisure activities."
Company's Industry,-,Insurance,"Insurance companies offer risk management solutions through various policies, providing financial protection against potential losses in different sectors."
Company's Industry,-,Logistics,"Logistics firms manage the supply chain, ensuring efficient movement and storage of goods, facilitating trade and commerce on a global scale."
Company's Industry,-,Manufacturing,"Manufacturing companies produce goods through industrial processes, converting raw materials into finished products for various markets and applications."
Company's Industry,-,Marine and Shipping,"Marine and shipping firms are involved in transporting goods and passengers by sea, encompassing logistics, shipbuilding, and maritime services."
Company's Industry,-,Mining,"Mining companies extract valuable minerals and resources from the earth, supplying essential materials for construction, manufacturing, and energy sectors."
Company's Industry,-,Oil and Gas,"Oil and gas firms explore, extract, and refine petroleum and natural gas products, playing a vital role in global energy supply and economic development."
Company's Industry,-,Pharmaceuticals,"Pharmaceutical companies research, develop, and produce medications, aiming to improve health and treat diseases, significantly impacting public health."
Company's Industry,-,Professional Services,"Professional services firms provide specialized expertise, including legal, accounting, and consulting services, supporting businesses and individuals in various sectors."
Company's Industry,-,Real Estate,"Real estate companies engage in buying, selling, and managing properties, including residential, commercial, and industrial assets, influencing market dynamics."
Company's Industry,-,Retail,"Retail companies sell goods and services directly to consumers, encompassing both physical stores and online platforms, shaping consumer behavior and trends."
Company's Industry,-,Technology,"Technology firms develop and apply scientific innovations across various fields, driving digital transformation and enhancing efficiency in business operations."
Company's Industry,-,Telecommunications,"Telecommunications companies facilitate communication through various media, providing essential services like internet, phone, and broadcasting to individuals and businesses."
Company's Industry,-,Textile and Apparel,"Textile and apparel companies produce and market fabrics and clothing, encompassing design, manufacturing, and retail processes within the fashion industry."
Company's Industry,-,Tourism,"Tourism companies provide travel-related services, promoting leisure and business travel, and contributing to economic growth through hospitality and cultural exchange."
Company's Industry,-,Transportation,"Transportation companies manage the movement of people and goods through various modes, including road, rail, air, and sea, ensuring connectivity and logistics."
Company's Size,-,Startup,"A startup is a newly established company, often focused on innovative products or services, typically in the early stages of development and seeking growth opportunities."
Company's Size,-,SME,"SME, or Small and Medium-sized Enterprise, refers to businesses with a limited number of employees and revenue, playing a crucial role in economic development and job creation."
Company's Size,-,After Series D fundraising,"After Series D fundraising indicates a company that has successfully raised four rounds of funding, often focusing on scaling operations and preparing for significant growth or potential IPO."
Company's Size,-,Pre-IPO,"Pre-IPO describes a company that is preparing to go public by offering shares to the public for the first time, often focusing on compliance and financial reporting."
Company's Size,-,Public company,"A public company is a corporation whose shares are traded on a stock exchange, allowing public investors to buy and sell ownership stakes, subject to regulatory requirements."
Corporate Practices,-,Employee Stock Option Plan,"An Employee Stock Option Plan (ESOP) is a program that provides employees with the option to purchase company shares at a predetermined price, fostering employee ownership and aligning their interests with those of shareholders. ESOPs can enhance motivation, retention, and overall company performance, while also offering potential tax benefits for the company and employees."
Corporate Practices,-,Related Party Transaction,"A related party transaction occurs when a company engages in business dealings with parties that have a close relationship, such as shareholders, executives, or family members. These transactions must be disclosed in financial statements to ensure transparency and compliance with regulations, as they can pose potential conflicts of interest and affect financial reporting."
Corporate Practices,-,Merger & Acquisition,"Merger and acquisition (M&A) activities involve the consolidation of companies through various strategies, including mergers, where two companies combine to form a new entity, and acquisitions, where one company purchases another. M&A can enhance market share, diversify product offerings, and achieve synergies, but they also require careful due diligence, valuation, and integration planning to realize their benefits."
