Primary Category,Secondary Category,Tertiary Category,Tags Explanation,embedding_reference
GST,GST Registration/Deregistration,Voluntary Disclosure for Wrongful Collection of GST,Voluntary Disclosure for Wrongful Collection of GST requires businesses that mistakenly charge GST when not required to report and rectify the error with IRAS.,taxonomy_99.json
GST,GST Registration/Deregistration,Guarantee Provided for GST Registration,Guarantee Provided for GST Registration may be required by IRAS as a security deposit from businesses with compliance risks before granting GST registration.,taxonomy_100.json
GST,GST Compliance,Assisted Compliance Assurance Programme (ACAP),"Assisted Compliance Assurance Programme (ACAP) is a voluntary initiative where businesses undergo a GST risk assessment, earning compliance benefits and reduced audit exposure.",taxonomy_101.json
GST,GST Compliance,Assisted Self-help Kit (ASK),Assisted Self-help Kit (ASK) is a GST compliance tool that helps businesses conduct internal reviews of their GST filings to ensure accuracy and adherence to regulations.,taxonomy_102.json
GST,GST Compliance,Wrongful Collection of GST by GST-registered persons,"Wrongful Collection of GST by GST-registered persons occurs when businesses overcharge or incorrectly impose GST, requiring correction and potential penalties.",taxonomy_103.json
GST,GST Compliance,Voluntary disclosure of errors for reduced penalties,Voluntary disclosure of errors for reduced penalties allows businesses to proactively correct GST filing mistakes and benefit from reduced penalties under IRAS guidelines.,taxonomy_104.json
Stamp Duty,Property Related Stamp Duty,Stamp Duty for Variable Capital Companies,"Stamp duty for variable capital companies applies to instruments executed for the transfer of shares or interests in such companies, ensuring compliance with Singapore's tax regulations.",taxonomy_105.json
Stamp Duty,Property Related Stamp Duty,e-Stamping and Where to e-Stamp Documents,"e-Stamping allows individuals to electronically stamp documents online, providing a convenient method for fulfilling stamp duty obligations.",taxonomy_106.json
Stamp Duty,Property Related Stamp Duty,Additional Buyer's Stamp Duty (ABSD),"Additional Buyer's Stamp Duty (ABSD) is an extra tax imposed on certain property purchases, primarily affecting foreign buyers and those acquiring multiple properties.",taxonomy_107.json
Stamp Duty,Property Related Stamp Duty,Mortgage Duty,"Mortgage duty is a tax levied on the creation of a mortgage or charge on property, applicable to both residential and commercial properties.",taxonomy_108.json
Stamp Duty,Property Related Stamp Duty,Buyer's Stamp Duty (BSD),"Buyer's Stamp Duty (BSD) is a tax payable on property purchases, calculated based on the purchase price or market value, whichever is higher.",taxonomy_109.json
Stamp Duty,Property Related Stamp Duty,Renunciation of interest in trust over residential property by beneficial owner (Section 22C),"Renunciation of interest in trust over residential property by a beneficial owner (Section 22C) involves transferring ownership interest, triggering potential stamp duty obligations.",taxonomy_110.json
Stamp Duty,Property Related Stamp Duty,Seller's Stamp Duty (SSD) for Industrial Property,Seller's Stamp Duty (SSD) for industrial property is a tax imposed on the sale of industrial properties if sold within a specific holding period.,taxonomy_111.json
Stamp Duty,Property Related Stamp Duty,Definition of Industrial Property,"Industrial property is defined as land or buildings primarily used for industrial purposes, including manufacturing, warehousing, and logistics activities.",taxonomy_112.json
Stamp Duty,Property Related Stamp Duty,Seller's Stamp Duty (SSD) for Residential Property,Seller's Stamp Duty (SSD) for residential property is a tax payable on the sale of residential properties if sold within a specified holding period.,taxonomy_113.json
Stamp Duty,Property-Holding Entities Related Stamp Duty,Additional Conveyance Duties (ACD),"Additional Conveyance Duties (ACD) apply to certain property transactions, enhancing the stamp duty framework for specific acquisitions.",taxonomy_114.json
Stamp Duty,Property-Holding Entities Related Stamp Duty,Buying or Acquiring Property-Holding Entities,Buying or acquiring property-holding entities involves potential stamp duty liabilities when shares in entities owning property are transferred.,taxonomy_115.json
Stamp Duty,Property-Holding Entities Related Stamp Duty,Selling or Disposing Property-Holding Entities,Selling or disposing of property-holding entities may incur stamp duty obligations when interests in property-owning companies are sold.,taxonomy_116.json
Stamp Duty,Shares Related Stamp Duty,Buying or Acquiring Shares,"Buying or acquiring shares may attract stamp duty if the shares are in a company that holds property, subjecting the transaction to tax.",taxonomy_117.json
Company's Industry,-,Agriculture,"Agriculture companies focus on producing and processing food, fibers, and other products through farming and related activities, ensuring sustainable practices and resource management.",taxonomy_118.json
Company's Industry,-,Automotive,"Automotive firms design, manufacture, and sell vehicles and parts, driving innovation in mobility and contributing to economic growth through global supply chains.",taxonomy_119.json
Company's Industry,-,Aviation,"Aviation companies are involved in the design, manufacturing, and operation of aircraft, providing passenger and cargo transport services across domestic and international markets.",taxonomy_120.json
Company's Industry,-,Banking,"Banking institutions offer financial services including deposits, loans, and investment products, playing a critical role in facilitating economic transactions and supporting business growth.",taxonomy_121.json
Company's Industry,-,Biotechnology,"Biotechnology companies leverage biological processes and organisms to develop products and technologies, focusing on healthcare, agriculture, and environmental solutions for societal challenges.",taxonomy_122.json
Company's Industry,-,Chemical Manufacturing,"Chemical manufacturing firms produce various chemicals used in multiple industries, including pharmaceuticals, agriculture, and consumer products, ensuring quality and safety standards.",taxonomy_123.json
Company's Industry,-,Construction,"Construction companies engage in the planning, design, and building of infrastructure and buildings, contributing to urban development and economic stability through project execution.",taxonomy_124.json
Company's Industry,-,Consumer Goods,"Consumer goods companies manufacture and distribute products for personal use, including electronics, clothing, and household items, driving consumer trends and market dynamics.",taxonomy_125.json
Company's Industry,-,E-commerce,"E-commerce businesses facilitate online buying and selling, transforming retail experiences and expanding market access for consumers and businesses globally.",taxonomy_126.json
Company's Industry,-,Education,"Education companies provide learning and training services, ranging from primary education to vocational training, aiming to enhance knowledge and skills in society.",taxonomy_127.json
Company's Industry,-,Energy,"Energy companies produce and distribute power from various sources, including renewable energy, fossil fuels, and nuclear, essential for industrial and residential use.",taxonomy_128.json
Company's Industry,-,Entertainment,"Entertainment firms create and distribute media content, including films, music, and games, catering to diverse audiences and driving cultural engagement.",taxonomy_129.json
Company's Industry,-,Financial Services,"Financial services companies offer a range of services, including investment management, insurance, and advisory, supporting individuals and businesses in financial planning.",taxonomy_130.json
Company's Industry,-,Food and Beverage,"Food and beverage companies handle the production, processing, and distribution of food products and drinks, focusing on quality, safety, and consumer preferences.",taxonomy_131.json
Company's Industry,-,Healthcare,"Healthcare companies provide medical services, pharmaceuticals, and wellness products, striving to improve health outcomes and enhance the quality of life for individuals.",taxonomy_132.json
Company's Industry,-,Hospitality,"Hospitality firms operate in lodging, food service, and tourism, focusing on customer experience and satisfaction in travel and leisure activities.",taxonomy_133.json
Company's Industry,-,Insurance,"Insurance companies offer risk management solutions through various policies, providing financial protection against potential losses in different sectors.",taxonomy_134.json
Company's Industry,-,Logistics,"Logistics firms manage the supply chain, ensuring efficient movement and storage of goods, facilitating trade and commerce on a global scale.",taxonomy_135.json
Company's Industry,-,Manufacturing,"Manufacturing companies produce goods through industrial processes, converting raw materials into finished products for various markets and applications.",taxonomy_136.json
Company's Industry,-,Marine and Shipping,"Marine and shipping firms are involved in transporting goods and passengers by sea, encompassing logistics, shipbuilding, and maritime services.",taxonomy_137.json
